"model","scenario","version","region","unit","variable","type","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"OECD ENV-Growth 2025","Historical Reference",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",30797.74415921119,35252.8048403016,47391.80334740407,53029.45852650251,61967.16686864285,74891.90630418606,89801.07715271079,106893.5374344245,119137.6328949598,143358.1192161007,,,,,,,,,,,,,,,
"OECD ENV-Growth 2025","Historical Reference",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",32897.83651145476,37629.43976301266,50521.41042802719,56299.7026166603,65640.25708882352,78901.60590880213,93920.1232700089,111282.9159172715,123849.439443994,148762.6598701536,,,,,,,,,,,,,,,
"OECD ENV-Growth 2025","Historical Reference",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",34139.996351,38993.497623,52395.803386,58215.364188,67718.501906,81249.781518,96427.422590091,113922.368090994,126504.919119985,151744.194958633,,,,,,,,,,,,,,,
"OECD ENV-Growth 2025","SSP1",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",,,,,,,,,,143357.9900663206,167803.6345683415,195959.6222489739,227028.9869379659,261093.1956332616,295822.7199888712,330845.0640831564,367133.9047394897,404652.9339985476,441671.7755002712,477642.062811136,512084.4454615888,544684.5391478038,575425.5726769754,604248.5642001574,630766.6170396338
"OECD ENV-Growth 2025","SSP1",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",,,,,,,,,,148762.427195421,173860.6436132471,202799.2119698576,234755.0573752648,269791.0662966336,305516.7920823478,341557.9932488996,378894.5423476235,417491.9225130316,455586.2100460199,492604.6412147649,528024.1149450461,561501.5881518894,593002.9675464515,622453.3884174323,649448.4508627665
"OECD ENV-Growth 2025","SSP1",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",,,,,,,,,,151744.093878633,177140.2291219451,206474.8077628948,238937.7375913828,274557.554584883,310912.3345938203,347635.2627116297,385711.8378521759,425119.7911462697,464093.5521054406,502043.1987318113,538423.1287881057,572872.883457019,605344.7945710387,635749.6855196998,663667.3685417055
"OECD ENV-Growth 2025","SSP2",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",,,,,,,,,,143358.1192161007,167467.1202209005,192539.8271398774,217742.4186313816,244171.9590735245,271880.6991271931,301024.1740639141,332215.1719360065,365404.5363849586,399448.4115697393,434240.4473808203,469637.6019824973,505837.9963948952,543178.6589369059,581751.7149698389,621362.1664431044
"OECD ENV-Growth 2025","SSP2",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",,,,,,,,,,148762.6598701536,173511.549916655,199255.9051267291,225133.4079621632,252276.0546815642,280751.5896252059,310726.4095016156,342811.4217817623,376956.7294441273,411994.2228616672,447806.3264520016,484223.8766137911,521431.5953793549,559757.4190610202,599282.4828582024,639780.9428423828
"OECD ENV-Growth 2025","SSP2",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",,,,,,,,,,151744.194958633,176786.2359747029,202885.5962358642,229190.0208098051,256811.1478216767,285818.032283265,316389.8763767379,349140.6280106741,384033.1161799614,419902.6834490294,456627.1908479737,494030.4297879343,532297.440987946,571759.1328206842,612501.2220276579,654300.5127782264
"OECD ENV-Growth 2025","SSP3",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",,,,,,,,,,143357.9061211786,167092.2415727607,188578.5803763096,206432.0702198766,221801.9053758292,235959.4723686134,249414.2734103512,262345.7055675489,274691.5577715767,285916.7123522843,296361.1708114938,306274.0153435374,316014.7326376193,325848.6573528225,335814.7067271327,345894.276813986
"OECD ENV-Growth 2025","SSP3",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",,,,,,,,,,148762.6264643145,173116.0351798295,195113.7641029241,213367.3455841111,229084.8664413925,243595.6229118543,257426.230727212,270739.6644681972,283469.3348170384,295068.1051995262,305878.8266938018,316144.0475438256,326226.2561581683,336395.2866371924,346693.6871203045,357098.928113097
"OECD ENV-Growth 2025","SSP3",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",,,,,,,,,,151742.644208633,176378.732624693,198666.9910200342,217219.7337388107,233224.6539203773,248025.4554624356,262161.9137673468,275792.0652722964,288857.0970614234,300809.978365241,311992.289768366,322642.9833150757,333125.8896803444,343715.2928260444,354457.5661520472,365330.9299031919
"OECD ENV-Growth 2025","SSP4",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",,,,,,,,,,143358.224593765,167585.6164217054,193146.5850850086,218400.8873515506,243603.2313240891,268362.7362560094,292943.2088751409,318044.8268648642,343742.1752968292,369244.7882070446,394690.9151603508,420203.178131142,446132.0273000385,472960.7937235223,501032.23740889,530498.0585183806
"OECD ENV-Growth 2025","SSP4",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",,,,,,,,,,148762.936760032,173632.9009292067,199878.459135401,225819.0404000652,251705.3926800629,277134.4906341814,302387.6623457273,328170.5772840597,354557.0923270178,380741.8341158962,406862.7674114614,433033.9100406014,459606.5882222132,487065.9024534852,515760.1752042627,545841.676956615
"OECD ENV-Growth 2025","SSP4",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",,,,,,,,,,151744.358068633,176910.8339885445,203532.4464451777,229924.7255471169,256298.0150195561,282232.6177016754,308023.0557516722,334378.164669643,361382.0032572281,388231.483417269,415061.5835846202,441981.4328196658,469346.2620965403,497648.211358338,527246.5590436644,558305.2520539054
"OECD ENV-Growth 2025","SSP5",1,"World","billion USD_2010/yr","GDP|PPP","ANNUAL",,,,,,,,,,143358.2091251705,168269.0723225055,201050.5359210254,242221.5850002547,290584.1983279833,341545.4029910315,395284.7572253024,453758.453731848,517411.2163995294,584267.5910386519,653640.2343953184,724844.4212755751,797367.1895011103,871076.9863242926,945731.8714570779,1020510.228913773
"OECD ENV-Growth 2025","SSP5",1,"World","billion USD_2015/yr","GDP|PPP","ANNUAL",,,,,,,,,,148762.6521323662,174342.2302645608,208062.3786203444,250441.5426090156,300232.6584161103,352727.4602961027,408133.6796542664,468443.9432319698,534116.5159137711,603141.7932682817,674807.8031986061,748376.375339001,823289.7450678981,899378.9417970943,976360.7401927086,1053371.160275809
"OECD ENV-Growth 2025","SSP5",1,"World","billion USD_2017/yr","GDP|PPP","ANNUAL",,,,,,,,,,151745.888488633,177633.3080216528,211827.2269919593,254887.8769364315,305527.2801763381,358979.3210371603,415471.2650549306,477017.3085376536,544099.9426594804,614716.414763011,688140.5732295637,763611.5372837549,840552.2997058764,918777.0419457994,997981.3188763061,1077274.370659176